target,mode,train_persona,train_size,layer,eval_persona,cohen_d,auc,n_pos,n_neg
harm,cross_persona,pathological_liar,3560,39,villain,2.827037703302961,0.983216,250,250
harm,cross_persona,pathological_liar,3560,39,pathological_liar,5.77276168153831,0.9995999999999999,250,250
harm,cross_persona,pathological_liar,3560,39,Aura,2.1184015779912255,0.93416,250,250
harm,cross_persona,pathological_liar,3560,39,mathematician,3.4832780245071926,0.989936,250,250
harm,cross_persona,pathological_liar,3560,39,neutral_long,2.6919755862188994,0.9617600000000001,250,250
harm,cross_persona,pathological_liar,3560,46,default,0.7011587277608089,0.692816,250,250
harm,cross_persona,pathological_liar,3560,46,helpful_assistant,1.5996801294358562,0.8759840000000001,250,250
harm,cross_persona,pathological_liar,3560,46,sadist,2.6057647126415224,0.9646079999999999,250,250
harm,cross_persona,pathological_liar,3560,46,villain,2.720943736804655,0.973792,250,250
harm,cross_persona,pathological_liar,3560,46,pathological_liar,5.473086101095302,0.999456,250,250
harm,cross_persona,pathological_liar,3560,46,Aura,1.428785379318618,0.849152,250,250
harm,cross_persona,pathological_liar,3560,46,mathematician,2.376421165440225,0.959824,250,250
harm,cross_persona,pathological_liar,3560,46,neutral_long,2.315227893343319,0.95176,250,250
harm,cross_persona,pathological_liar,3560,53,default,2.633092627486595,0.961232,250,250
harm,cross_persona,pathological_liar,3560,53,helpful_assistant,2.3381257240163733,0.94776,250,250
harm,cross_persona,pathological_liar,3560,53,sadist,2.5132695880084044,0.963024,250,250
harm,cross_persona,pathological_liar,3560,53,villain,3.4677890328091134,0.9923839999999999,250,250
harm,cross_persona,pathological_liar,3560,53,pathological_liar,5.288028447251396,0.9981279999999999,250,250
harm,cross_persona,pathological_liar,3560,53,Aura,2.4577887836967722,0.9594559999999999,250,250
harm,cross_persona,pathological_liar,3560,53,mathematician,2.9431031886559174,0.980144,250,250
harm,cross_persona,pathological_liar,3560,53,neutral_long,2.9534051704747153,0.977568,250,250
harm,cross_persona,sadist,3560,25,default,1.4781562447393675,0.8537920000000001,250,250
harm,cross_persona,sadist,3560,25,helpful_assistant,1.3964351600578628,0.8486239999999999,250,250
harm,cross_persona,sadist,3560,25,sadist,6.471323768203499,0.999968,250,250
harm,cross_persona,sadist,3560,25,villain,4.228413536290991,0.996912,250,250
harm,cross_persona,sadist,3560,25,pathological_liar,2.660380313078084,0.9756480000000001,250,250
harm,cross_persona,sadist,3560,25,Aura,2.8014833277466122,0.9798720000000001,250,250
harm,cross_persona,sadist,3560,25,mathematician,2.4071870487280282,0.964944,250,250
harm,cross_persona,sadist,3560,25,neutral_long,3.048110981129161,0.978384,250,250
harm,cross_persona,sadist,3560,32,default,2.124819700573933,0.938752,250,250
harm,cross_persona,sadist,3560,32,helpful_assistant,1.8266346756359726,0.912768,250,250
harm,cross_persona,sadist,3560,32,sadist,5.513504965556321,0.995792,250,250
harm,cross_persona,sadist,3560,32,villain,3.6531447345266277,0.99112,250,250
harm,cross_persona,sadist,3560,32,pathological_liar,2.441702625302157,0.9552480000000001,250,250
harm,cross_persona,sadist,3560,32,Aura,2.892708785299217,0.970976,250,250
harm,cross_persona,sadist,3560,32,mathematician,2.425942156857461,0.9590240000000001,250,250
harm,cross_persona,sadist,3560,32,neutral_long,2.8380376245844063,0.9817279999999999,250,250
harm,cross_persona,sadist,3560,39,default,1.542742814517644,0.86248,250,250
harm,cross_persona,sadist,3560,39,helpful_assistant,2.2156635591252387,0.946544,250,250
