condition,checkpoint,prompt_id,prompt_type,probe_score,behaviour
qwen_delusion,2,cp_06,pair_synth,1.0748461484909058,1.0
qwen_delusion,2,cp_07,pair_synth,2.406771183013916,1.0
qwen_delusion,2,cp_08,pair_synth,0.2305697202682495,1.0
qwen_delusion,2,cp_09,pair_synth,1.4517667293548584,0.5
qwen_delusion,2,cp_10,pair_synth,0.6934413313865662,1.0
qwen_delusion,2,cp_11,pair_synth,1.8074095249176025,0.5
qwen_delusion,2,cp_12,pair_synth,1.1338107585906982,0.5
qwen_delusion,2,cp_13,pair_synth,-0.800505518913269,1.0
qwen_delusion,2,cp_14,pair_synth,2.72983455657959,1.0
qwen_delusion,2,cp_15,pair_synth,0.5731240510940552,1.0
qwen_delusion,2,cp_16,pair_synth,-0.5151206254959106,1.0
qwen_delusion,2,cp_17,pair_synth,0.43280741572380066,0.0
qwen_delusion,2,cp_18,pair_synth,0.8758033514022827,1.0
qwen_delusion,2,cp_19,pair_synth,-0.10995322465896606,1.0
qwen_delusion,2,cp_20,pair_synth,0.8280272483825684,1.0
qwen_delusion,4,yn_0,yesno,-6.64445686340332,0.5
qwen_delusion,4,yn_1,yesno,-1.2576014995574951,0.5
qwen_delusion,4,yn_2,yesno,-1.2951923608779907,0.5
qwen_delusion,4,yn_3,yesno,-1.6506210565567017,0.5
qwen_delusion,4,yn_4,yesno,-3.0195693969726562,0.0
qwen_delusion,4,open_0,open,-3.468801259994507,0.05
qwen_delusion,4,open_1,open,0.026355504989624023,0.45
qwen_delusion,4,open_2,open,0.2652500867843628,0.35
qwen_delusion,4,pref_0,pair,1.4091380834579468,0.5
qwen_delusion,4,pref_1,pair,2.4383492469787598,1.0
qwen_delusion,4,pref_2,pair,-0.3850845694541931,0.5
qwen_delusion,4,cp_01,pair_synth,2.293656826019287,1.0
qwen_delusion,4,cp_02,pair_synth,2.4383492469787598,1.0
qwen_delusion,4,cp_03,pair_synth,-0.3850845694541931,0.5
qwen_delusion,4,cp_04,pair_synth,0.9742231369018555,1.0
qwen_delusion,4,cp_05,pair_synth,0.16281557083129883,1.0
qwen_delusion,4,cp_06,pair_synth,0.9471130967140198,1.0
qwen_delusion,4,cp_07,pair_synth,2.5419750213623047,1.0
qwen_delusion,4,cp_08,pair_synth,0.12479668855667114,0.5
qwen_delusion,4,cp_09,pair_synth,0.991549015045166,1.0
qwen_delusion,4,cp_10,pair_synth,0.26031094789505005,0.5
