condition,checkpoint,prompt_type,probe_mean,probe_std,behav_mean,behav_std,n
qwen_delusion,20,pair,1.020405928293864,0.6021976545478479,1.0,0.0,3
qwen_delusion,20,pair_synth,0.9508230149745941,1.0583448041171395,0.85,0.2856202852887397,20
qwen_delusion,20,yesno,-4.840324544906617,1.448266758812559,0.5,0.0,5
qwen_delusion,22,open,,,,,0
qwen_delusion,22,pair,0.34308356046676636,0.6003016974670421,1.0,0.0,3
qwen_delusion,22,pair_synth,0.1254751831293106,1.0800792812195823,0.825,0.2935714743061999,20
qwen_delusion,22,yesno,-3.8796836853027346,1.892023173179065,0.7,0.27386127875258304,5
qwen_delusion,24,open,,,,,0
qwen_delusion,24,pair,0.8645068208376566,0.3019325203675877,0.6666666666666666,0.28867513459481287,3
qwen_delusion,24,pair_synth,0.6373709335923194,0.9613217335668192,0.9,0.20519567041703082,20
qwen_delusion,24,yesno,-2.6332485914230346,1.9830364031552956,0.7,0.27386127875258304,5
qwen_delusion,26,open,,,,,0
qwen_delusion,26,pair,0.6170229911804199,0.22352190168623248,1.0,0.0,3
qwen_delusion,26,pair_synth,0.5281057134270668,1.0270785173606816,0.875,0.22213082915965965,20
qwen_delusion,26,yesno,-3.3305540561676024,1.9937013951925933,0.8,0.44721359549995804,5
qwen_delusion,28,open,,,,,0
qwen_delusion,28,pair,1.0903653303782146,0.1521951771404365,0.6666666666666666,0.28867513459481287,3
qwen_delusion,28,pair_synth,1.0635450199246406,0.83163561409406,0.925,0.18317377426626164,20
qwen_delusion,28,yesno,-2.4111706495285032,1.698898814074529,1.0,0.0,5
qwen_delusion,30,open,,,,,0
qwen_delusion,30,pair,0.6774657169977824,0.4032576078606786,0.6666666666666666,0.28867513459481287,3
qwen_delusion,30,pair_synth,0.7426385879516602,0.8392263590727045,0.85,0.2856202852887397,20
qwen_delusion,30,yesno,-2.3734586238861084,1.645432397070541,1.0,0.0,5
qwen_delusion,32,open,,,,,0
qwen_delusion,32,pair,0.3507129152615865,0.22165440003848064,1.0,0.0,3
qwen_delusion,32,pair_synth,0.20729485750198365,0.9649998183641375,0.95,0.15389675281277312,20
qwen_delusion,32,yesno,-2.944477605819702,1.4331099168915529,1.0,0.0,5
qwen_delusion,34,open,,,,,0
qwen_delusion,34,pair,-0.4693019390106201,0.21700549275687064,0.8333333333333334,0.28867513459481287,3
qwen_delusion,34,pair_synth,-0.5068694561719894,1.0624492091259483,0.875,0.22213082915965965,20
